Topic,Coherence Score,woord_dist
0,-0.1537113133752594,"(0, '0.046*""frame"" + 0.041*""urban"" + 0.034*""ship"" + 0.032*""fire"" + 0.028*""weight"" + 0.024*""birthday"" + 0.022*""greatest"" + 0.018*""dollar"" + 0.016*""al"" + 0.014*""held""')"
1,0.09791905596169326,"(1, '0.047*""book"" + 0.027*""people"" + 0.024*""library"" + 0.016*""offensive"" + 0.016*""thing"" + 0.016*""would"" + 0.015*""child"" + 0.015*""movie"" + 0.015*""read"" + 0.014*""think""')"
2,0.021007816151229052,"(2, '0.013*""time"" + 0.012*""one"" + 0.012*""would"" + 0.011*""laughter"" + 0.011*""laugh"" + 0.010*""friend"" + 0.010*""day"" + 0.009*""u"" + 0.009*""like"" + 0.009*""could""')"
3,0.12675974994347483,"(3, '0.053*""patient"" + 0.034*""got"" + 0.028*""get"" + 0.028*""mom"" + 0.026*""said"" + 0.025*""time"" + 0.023*""go"" + 0.023*""patience"" + 0.022*""wait"" + 0.022*""went""')"
4,0.16574406301558078,"(4, '0.037*""story"" + 0.028*""author"" + 0.025*""test"" + 0.023*""saeng"" + 0.018*""paragraph"" + 0.017*""hibiscus"" + 0.016*""show"" + 0.016*""take"" + 0.013*""new"" + 0.010*""back""')"
5,0.23279531436335354,"(5, '0.059*""building"" + 0.046*""dirigible"" + 0.030*""state"" + 0.030*""would"" + 0.027*""obstacle"" + 0.026*""empire"" + 0.022*""mast"" + 0.019*""builder"" + 0.018*""mooring"" + 0.016*""faced""')"
6,0.1283755074937666,"(6, '0.042*""cyclist"" + 0.038*""water"" + 0.029*""setting"" + 0.017*""road"" + 0.016*""smile"" + 0.015*""feature"" + 0.014*""affect"" + 0.012*""hill"" + 0.012*""hot"" + 0.010*""affected""')"
7,0.1593337571165385,"(7, '0.045*""mood"" + 0.037*""parent"" + 0.035*""family"" + 0.025*""memoir"" + 0.024*""author"" + 0.020*""love"" + 0.020*""narciso"" + 0.018*""home"" + 0.018*""life"" + 0.015*""happy""')"
